Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Max_socket_power,Max_power
48.104182,9.7958,11.0,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,0,0,0,0,11,11.0
48.082535,9.778674,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.098737,9.766662,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.104791,9.773605,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.10341,9.806838,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.099417,9.793556,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,22,22.0
48.096138,9.785605,22.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.097266,9.791612,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.080056,9.805233,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.070844,9.947454,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.069766,9.953367,73.0,"DC Kupplung Combo, DC CHAdeMO",50,AC Steckdose Typ 2,22,0,0,0,0,50,50.0
48.073385,9.948276,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.110326,9.944458,13.2,AC Steckdose Typ 2,11,0,0,0,0,0,0,11,11.0
48.066473,9.609979,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.08846,9.652113,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.0665,9.6101,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.003414,9.658568,22.0,AC Kupplung Typ 2,22,0,0,0,0,0,0,22,22.0
48.003414,9.658568,22.0,AC Kupplung Typ 2,22,0,0,0,0,0,0,22,22.0
48.003414,9.658568,22.0,AC Kupplung Typ 2,22,0,0,0,0,0,0,22,22.0
48.003414,9.658568,22.0,AC Kupplung Typ 2,22,0,0,0,0,0,0,22,22.0
